ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,loai_hinh,trang_thai_xep_hang,loai_y_kien,ky_han,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,bao_cao_chi_tiet,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
28/11/2025,Công ty Cổ phần Công nghệ Tài chính Encapital,Công nghệ thông tin,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BBB,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/01133207/CBTT_XHTN_SI-ENCAP.pdf,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-cong-nghe-tai-chinh-encapital,5239,S&I Ratings,2026-09-14 08:50:23,2025-11-28
10/09/2025,Ngân Hàng TMCP Phương Đông,Ngân hàng,Tổ chức tài chính,Giám sát Xếp hạng,,,A+,Ổn định,,,,,https://sniratings.com.vn/?rating=ngan-hang-tmcp-phuong-dong,4941,S&I Ratings,2026-09-14 08:50:23,2025-09-10
10/06/2025,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,BBB,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/06/10143529/DNSE-Credit-Report-Summary.pdf,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-dnse,4708,S&I Ratings,2026-09-14 08:50:23,2025-06-10
10/03/2025,Ngân Hàng TMCP Phương Đông,Ngân hàng,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,A+,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/03/10163537/OCB-Credit-Report-Summary.pdf,,,https://sniratings.com.vn/?rating=ngan-hang-tmcp-an-binh,591,S&I Ratings,2026-09-14 08:50:23,2025-03-10
27/06/2026,Công ty TNHH Mặt Trời Vũng Tàu,Bất động sản,Doanh nghiệp,Lần đầu,Công cụ nợ,,A-,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/06/29163503/SVT-Public-Scan-1.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-mat-troi-vung-tau,5793,S&I Ratings,2026-09-14 15:15:24,2026-06-27
10/06/2026,Công ty Cổ phần Bluemarq Group,Bất động sản,Doanh nghiệp,Giám sát Xếp hạng,,,BBB+,Tích cực,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-bluemarq-group,5800,S&I Ratings,2026-09-14 15:15:24,2026-06-10
28/05/2026,Công ty Cổ phần Công nghệ Tài chính Encapital,Công nghệ thông tin,Doanh nghiệp,Giám sát Xếp hạng,,,BBB,Ổn định,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-cong-nghe-tai-chinh-encapital-2,5798,S&I Ratings,2026-09-14 15:15:24,2026-05-28
24/04/2026,Công ty Cổ phần Chứng khoán KAFI,Chứng khoán,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,A,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163747/KAFI-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163739/KAFI-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-kafi,5575,S&I Ratings,2026-09-14 15:15:24,2026-04-24
24/03/2026,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Bất động sản,Doanh nghiệp,Lần đầu,Công cụ nợ,,A,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/03/26162151/PCC-Bond-Public.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-xay-dung-dan-dung-phu-quoc-2,5456,S&I Ratings,2026-09-14 15:15:24,2026-03-24
24/03/2026,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Bất động sản,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BB+,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/03/26161837/PCC-Corporate-Public.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-xay-dung-dan-dung-phu-quoc,5454,S&I Ratings,2026-09-14 15:15:24,2026-03-24
10/12/2025,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BBB+,Tích cực,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/11142639/DXG-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/11091425/DXG-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-tap-doan-dat-xanh,5262,S&I Ratings,2026-09-14 15:15:24,2025-12-10
10/12/2025,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán,Tổ chức tài chính,Giám sát Xếp hạng,,,BBB,Ổn định,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-dnse-2,5258,S&I Ratings,2026-09-14 15:15:24,2025-12-10
28/11/2025,Công ty Cổ phần Công nghệ Tài chính Encapital,Công nghệ thông tin,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BBB,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/01133207/CBTT_XHTN_SI-ENCAP.pdf,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-cong-nghe-tai-chinh-encapital,5239,S&I Ratings,2026-09-14 15:15:24,2025-11-28
10/09/2025,Ngân Hàng TMCP Phương Đông,Ngân hàng,Tổ chức tài chính,Giám sát Xếp hạng,,,A+,Ổn định,,,,,https://sniratings.com.vn/?rating=ngan-hang-tmcp-phuong-dong,4941,S&I Ratings,2026-09-14 15:15:24,2025-09-10
10/06/2025,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,BBB,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/06/10143529/DNSE-Credit-Report-Summary.pdf,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-dnse,4708,S&I Ratings,2026-09-14 15:15:24,2025-06-10
10/03/2025,Ngân Hàng TMCP Phương Đông,Ngân hàng,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,A+,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/03/10163537/OCB-Credit-Report-Summary.pdf,,,https://sniratings.com.vn/?rating=ngan-hang-tmcp-an-binh,591,S&I Ratings,2026-09-14 15:15:24,2025-03-10
27/06/2026,Công ty TNHH Mặt Trời Vũng Tàu,Bất động sản,Doanh nghiệp,Lần đầu,Công cụ nợ,,A-,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/06/29163503/SVT-Public-Scan-1.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-mat-troi-vung-tau,5793,S&I Ratings,2026-09-15 08:40:39,2026-06-27
10/06/2026,Công ty Cổ phần Bluemarq Group,Bất động sản,Doanh nghiệp,Giám sát Xếp hạng,,,BBB+,Tích cực,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-bluemarq-group,5800,S&I Ratings,2026-09-15 08:40:39,2026-06-10
28/05/2026,Công ty Cổ phần Công nghệ Tài chính Encapital,Công nghệ thông tin,Doanh nghiệp,Giám sát Xếp hạng,,,BBB,Ổn định,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-cong-nghe-tai-chinh-encapital-2,5798,S&I Ratings,2026-09-15 08:40:39,2026-05-28
24/04/2026,Công ty Cổ phần Chứng khoán KAFI,Chứng khoán,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,A,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163747/KAFI-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163739/KAFI-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-kafi,5575,S&I Ratings,2026-09-15 08:40:39,2026-04-24
24/03/2026,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Bất động sản,Doanh nghiệp,Lần đầu,Công cụ nợ,,A,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/03/26162151/PCC-Bond-Public.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-xay-dung-dan-dung-phu-quoc-2,5456,S&I Ratings,2026-09-15 08:40:39,2026-03-24
24/03/2026,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Bất động sản,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BB+,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/03/26161837/PCC-Corporate-Public.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-xay-dung-dan-dung-phu-quoc,5454,S&I Ratings,2026-09-15 08:40:39,2026-03-24
10/12/2025,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BBB+,Tích cực,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/11142639/DXG-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/11091425/DXG-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-tap-doan-dat-xanh,5262,S&I Ratings,2026-09-15 08:40:39,2025-12-10
10/12/2025,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán,Tổ chức tài chính,Giám sát Xếp hạng,,,BBB,Ổn định,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-dnse-2,5258,S&I Ratings,2026-09-15 08:40:39,2025-12-10
28/11/2025,Công ty Cổ phần Công nghệ Tài chính Encapital,Công nghệ thông tin,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BBB,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/01133207/CBTT_XHTN_SI-ENCAP.pdf,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-cong-nghe-tai-chinh-encapital,5239,S&I Ratings,2026-09-15 08:40:39,2025-11-28
10/09/2025,Ngân Hàng TMCP Phương Đông,Ngân hàng,Tổ chức tài chính,Giám sát Xếp hạng,,,A+,Ổn định,,,,,https://sniratings.com.vn/?rating=ngan-hang-tmcp-phuong-dong,4941,S&I Ratings,2026-09-15 08:40:39,2025-09-10
10/06/2025,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,BBB,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/06/10143529/DNSE-Credit-Report-Summary.pdf,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-dnse,4708,S&I Ratings,2026-09-15 08:40:39,2025-06-10
10/03/2025,Ngân Hàng TMCP Phương Đông,Ngân hàng,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,A+,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/03/10163537/OCB-Credit-Report-Summary.pdf,,,https://sniratings.com.vn/?rating=ngan-hang-tmcp-an-binh,591,S&I Ratings,2026-09-15 08:40:39,2025-03-10
27/06/2026,Công ty TNHH Mặt Trời Vũng Tàu,Bất động sản,Doanh nghiệp,Lần đầu,Công cụ nợ,,A-,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/06/29163503/SVT-Public-Scan-1.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-mat-troi-vung-tau,5793,S&I Ratings,2026-09-15 15:15:23,2026-06-27
10/06/2026,Công ty Cổ phần Bluemarq Group,Bất động sản,Doanh nghiệp,Giám sát Xếp hạng,,,BBB+,Tích cực,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-bluemarq-group,5800,S&I Ratings,2026-09-15 15:15:23,2026-06-10
28/05/2026,Công ty Cổ phần Công nghệ Tài chính Encapital,Công nghệ thông tin,Doanh nghiệp,Giám sát Xếp hạng,,,BBB,Ổn định,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-cong-nghe-tai-chinh-encapital-2,5798,S&I Ratings,2026-09-15 15:15:23,2026-05-28
24/04/2026,Công ty Cổ phần Chứng khoán KAFI,Chứng khoán,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,A,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163747/KAFI-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163739/KAFI-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-kafi,5575,S&I Ratings,2026-09-15 15:15:23,2026-04-24
24/03/2026,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Bất động sản,Doanh nghiệp,Lần đầu,Công cụ nợ,,A,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/03/26162151/PCC-Bond-Public.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-xay-dung-dan-dung-phu-quoc-2,5456,S&I Ratings,2026-09-15 15:15:23,2026-03-24
24/03/2026,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Bất động sản,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BB+,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/03/26161837/PCC-Corporate-Public.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-xay-dung-dan-dung-phu-quoc,5454,S&I Ratings,2026-09-15 15:15:23,2026-03-24
10/12/2025,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BBB+,Tích cực,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/11142639/DXG-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/11091425/DXG-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-tap-doan-dat-xanh,5262,S&I Ratings,2026-09-15 15:15:23,2025-12-10
10/12/2025,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán,Tổ chức tài chính,Giám sát Xếp hạng,,,BBB,Ổn định,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-dnse-2,5258,S&I Ratings,2026-09-15 15:15:23,2025-12-10
28/11/2025,Công ty Cổ phần Công nghệ Tài chính Encapital,Công nghệ thông tin,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BBB,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/01133207/CBTT_XHTN_SI-ENCAP.pdf,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-cong-nghe-tai-chinh-encapital,5239,S&I Ratings,2026-09-15 15:15:23,2025-11-28
10/09/2025,Ngân Hàng TMCP Phương Đông,Ngân hàng,Tổ chức tài chính,Giám sát Xếp hạng,,,A+,Ổn định,,,,,https://sniratings.com.vn/?rating=ngan-hang-tmcp-phuong-dong,4941,S&I Ratings,2026-09-15 15:15:23,2025-09-10
10/06/2025,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,BBB,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/06/10143529/DNSE-Credit-Report-Summary.pdf,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-dnse,4708,S&I Ratings,2026-09-15 15:15:23,2025-06-10
10/03/2025,Ngân Hàng TMCP Phương Đông,Ngân hàng,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,A+,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/03/10163537/OCB-Credit-Report-Summary.pdf,,,https://sniratings.com.vn/?rating=ngan-hang-tmcp-an-binh,591,S&I Ratings,2026-09-15 15:15:23,2025-03-10
27/06/2026,Công ty TNHH Mặt Trời Vũng Tàu,Bất động sản,Doanh nghiệp,Lần đầu,Công cụ nợ,,A-,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/06/29163503/SVT-Public-Scan-1.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-mat-troi-vung-tau,5793,S&I Ratings,2026-09-16 08:40:25,2026-06-27
10/06/2026,Công ty Cổ phần Bluemarq Group,Bất động sản,Doanh nghiệp,Giám sát Xếp hạng,,,BBB+,Tích cực,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-bluemarq-group,5800,S&I Ratings,2026-09-16 08:40:25,2026-06-10
28/05/2026,Công ty Cổ phần Công nghệ Tài chính Encapital,Công nghệ thông tin,Doanh nghiệp,Giám sát Xếp hạng,,,BBB,Ổn định,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-cong-nghe-tai-chinh-encapital-2,5798,S&I Ratings,2026-09-16 08:40:25,2026-05-28
24/04/2026,Công ty Cổ phần Chứng khoán KAFI,Chứng khoán,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,A,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163747/KAFI-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163739/KAFI-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-kafi,5575,S&I Ratings,2026-09-16 08:40:25,2026-04-24
24/03/2026,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Bất động sản,Doanh nghiệp,Lần đầu,Công cụ nợ,,A,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/03/26162151/PCC-Bond-Public.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-xay-dung-dan-dung-phu-quoc-2,5456,S&I Ratings,2026-09-16 08:40:25,2026-03-24
24/03/2026,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Bất động sản,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BB+,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/03/26161837/PCC-Corporate-Public.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-xay-dung-dan-dung-phu-quoc,5454,S&I Ratings,2026-09-16 08:40:25,2026-03-24
10/12/2025,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BBB+,Tích cực,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/11142639/DXG-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/11091425/DXG-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-tap-doan-dat-xanh,5262,S&I Ratings,2026-09-16 08:40:25,2025-12-10
10/12/2025,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán,Tổ chức tài chính,Giám sát Xếp hạng,,,BBB,Ổn định,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-dnse-2,5258,S&I Ratings,2026-09-16 08:40:25,2025-12-10
28/11/2025,Công ty Cổ phần Công nghệ Tài chính Encapital,Công nghệ thông tin,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BBB,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/01133207/CBTT_XHTN_SI-ENCAP.pdf,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-cong-nghe-tai-chinh-encapital,5239,S&I Ratings,2026-09-16 08:40:25,2025-11-28
10/09/2025,Ngân Hàng TMCP Phương Đông,Ngân hàng,Tổ chức tài chính,Giám sát Xếp hạng,,,A+,Ổn định,,,,,https://sniratings.com.vn/?rating=ngan-hang-tmcp-phuong-dong,4941,S&I Ratings,2026-09-16 08:40:25,2025-09-10
10/06/2025,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,BBB,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/06/10143529/DNSE-Credit-Report-Summary.pdf,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-dnse,4708,S&I Ratings,2026-09-16 08:40:25,2025-06-10
10/03/2025,Ngân Hàng TMCP Phương Đông,Ngân hàng,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,A+,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/03/10163537/OCB-Credit-Report-Summary.pdf,,,https://sniratings.com.vn/?rating=ngan-hang-tmcp-an-binh,591,S&I Ratings,2026-09-16 08:40:25,2025-03-10
27/06/2026,Công ty TNHH Mặt Trời Vũng Tàu,Bất động sản,Doanh nghiệp,Lần đầu,Công cụ nợ,,A-,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/06/29163503/SVT-Public-Scan-1.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-mat-troi-vung-tau,5793,S&I Ratings,2026-09-16 15:15:24,2026-06-27
10/06/2026,Công ty Cổ phần Bluemarq Group,Bất động sản,Doanh nghiệp,Giám sát Xếp hạng,,,BBB+,Tích cực,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-bluemarq-group,5800,S&I Ratings,2026-09-16 15:15:24,2026-06-10
28/05/2026,Công ty Cổ phần Công nghệ Tài chính Encapital,Công nghệ thông tin,Doanh nghiệp,Giám sát Xếp hạng,,,BBB,Ổn định,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-cong-nghe-tai-chinh-encapital-2,5798,S&I Ratings,2026-09-16 15:15:24,2026-05-28
24/04/2026,Công ty Cổ phần Chứng khoán KAFI,Chứng khoán,Tổ chức tài chính,Lần đầu,Tổ chức phát hành,,A,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163747/KAFI-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/04/28163739/KAFI-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-kafi,5575,S&I Ratings,2026-09-16 15:15:24,2026-04-24
24/03/2026,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Bất động sản,Doanh nghiệp,Lần đầu,Công cụ nợ,,A,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/03/26162151/PCC-Bond-Public.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-xay-dung-dan-dung-phu-quoc-2,5456,S&I Ratings,2026-09-16 15:15:24,2026-03-24
24/03/2026,Công ty TNHH Xây dựng Dân dụng Phú Quốc,Bất động sản,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BB+,Ổn định,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2026/03/26161837/PCC-Corporate-Public.pdf,,,https://sniratings.com.vn/?rating=cong-ty-tnhh-xay-dung-dan-dung-phu-quoc,5454,S&I Ratings,2026-09-16 15:15:24,2026-03-24
10/12/2025,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,Doanh nghiệp,Lần đầu,Tổ chức phát hành,,BBB+,Tích cực,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/11142639/DXG-Public.pdf,,https://sni-rating.s3.ap-southeast-1.amazonaws.com/wp-content/uploads/2025/12/11091425/DXG-Rating-Report.pdf,https://sniratings.com.vn/?rating=cong-ty-co-phan-tap-doan-dat-xanh,5262,S&I Ratings,2026-09-16 15:15:24,2025-12-10
10/12/2025,Công ty Cổ phần Chứng khoán DNSE,Chứng khoán,Tổ chức tài chính,Giám sát Xếp hạng,,,BBB,Ổn định,,,,,https://sniratings.com.vn/?rating=cong-ty-co-phan-chung-khoan-dnse-2,5258,S&I Ratings,2026-09-16 15:15:24,2025-12-10
